text,label
Government launches free education scheme,REAL
India wins cricket world cup,REAL
NASA launches new satellite mission,REAL
New healthcare policy announced by PM,REAL
Stock market rises after budget announcement,REAL
Scientists discover new medicine for cancer,REAL
Delhi metro introduces new smart card system,REAL
Supreme court announces new legal reforms,REAL
Heavy rainfall expected in Mumbai this week,REAL
ISRO successfully launches moon mission,REAL
Aliens attacked India yesterday,FAKE
Ghost seen driving car in Delhi,FAKE
Dinosaurs found alive in Mumbai,FAKE
Scientists confirm dragons are real,FAKE
Humans living secretly on Mars discovered,FAKE
Invisible man steals bank in London,FAKE
Mermaids found in Indian Ocean,FAKE
Zombie outbreak reported in USA,FAKE
Time travel machine invented by student,FAKE
Moon made entirely of cheese confirmed,FAKE